"0461;0461;0461";7;ИЯТШ;Радиохимия;Лабораторные;Лаборатория;3;;
"0461;0461;0461";7;ИЯТШ;Химическая кинетика гетерогенных процессов;Лабораторные;Лаборатория;18;;
"0461;0461;0461;0461";5;ИЯТШ;Дозиметрия и основы радиационной безопасности;Лабораторные;Лаборатория;20;;
"0461;0461;0461;0461";5;ИЯТШ;Радиохимия;Лабораторные;Лаборатория;28;;
"0461;0461;0461;0461;0461";4;ИЯТШ;Дозиметрия и основы радиационной безопасности;Лабораторные;Лаборатория;20;;
"0461;0461;0461;0461;0461";4;ИЯТШ;Химическая кинетика гетерогенных процессов;Лабораторные;Лаборатория;3;;
0462;18;ИЯТШ;Введение в теорию ядерных реакторов;Лабораторные;Лаборатория;13;;
0462;18;ИЯТШ;Менеджмент 1.1;Практика;Учебная аудитория;9;;
0462;18;ИЯТШ;Методы аналитического контроля в производстве материалов современной энергетики;Лабораторные;Лаборатория;32;;
0462;18;ИЯТШ;Методы получения чистых веществ;Лабораторные;Лаборатория;20;;
0462;18;ИЯТШ;Оборудование производств редких элементов;Лабораторные;Лаборатория;2;;
0462;18;ИЯТШ;Оборудование производств редких элементов;Практика;Лаборатория;8;;
0462;18;ИЯТШ;Профессиональная подготовка на английском языке;Практика;Компьютерный класс;10;;
0462;18;ИЯТШ;Профессиональная подготовка на английском языке;Практика;Лаборатория;22;;
0462;18;ИЯТШ;Учебно-исследовательская работа студентов;Практика;Учебная аудитория;2;;
0462;18;ИЯТШ;Физико-химические методы анализа;Лабораторные;Лаборатория;38;;
0462;18;ИЯТШ;Химическая кинетика гетерогенных процессов;Лабораторные;Лаборатория;2;;
0462;18;ИЯТШ;Химическая кинетика гетерогенных процессов;Практика;Лаборатория;4;;
"0462;0462";18;ИЯТШ;Методы аналитического контроля в производстве материалов современной энергетики;Лабораторные;Лаборатория;32;;
"0462;0462";18;ИЯТШ;Методы получения чистых веществ;Лабораторные;Лаборатория;15;;
"0462;0462";18;ИЯТШ;Оборудование производств редких элементов;Лабораторные;Лаборатория;2;;
"0462;0462";18;ИЯТШ;Физико-химические методы анализа;Лабораторные;Лаборатория;32;;
"0462;0462";18;ИЯТШ;Химическая кинетика гетерогенных процессов;Лабораторные;Лаборатория;4;;
"0462;0462;0462";9;ИЯТШ;Дозиметрия и основы радиационной безопасности;Лабораторные;Лаборатория;30;;
"0462;0462;0462";9;ИЯТШ;Оборудование производств редких элементов;Лабораторные;Лаборатория;36;;
"0462;0462;0462";9;ИЯТШ;Химическая кинетика гетерогенных процессов;Лабораторные;Лаборатория;18;;
